Object ID,Street,Cross Street,Direction,Facing Street,Distance,CNN Segment ID,Last Edited Date,Geom
1,28TH AVE,ULLOA, ,SB, ,23253000,,"(37.7407630049, -122.485217856)"
2,46TH AVE,ORTEGA, ,NB, ,27921000,,"(37.7510980875, -122.505289802)"
3,46TH AVE,ORTEGA, ,SB, ,27921000,,"(37.7510980875, -122.505289802)"
4,42ND AVE,ORTEGA, ,SB, ,27764000,,"(37.7512913305, -122.501000714)"
5,44TH AVE,ORTEGA, ,EB, ,27768000,,"(37.7511952934, -122.503146228)"
6,44TH AVE,ORTEGA, ,WB, ,27768000,,"(37.7511952934, -122.503146228)"
7,ITALY,LISBON, ,NB, ,21728000,,"(37.717341074, -122.43714602)"
8,HURON,LAWRENCE, ,NB, ,21553000,,"(37.7102357055, -122.451918761)"
9,HURON,LAWRENCE, ,SB, ,21553000,,"(37.7102357055, -122.451918761)"
10,23RD AVE,KIRKHAM, ,EB, ,27410000,,"(37.7596479806, -122.481160746)"
11,23RD AVE,KIRKHAM, ,WB, ,27410000,,"(37.7596479806, -122.481160746)"
12,BRODERICK,BAY, ,WB, ,27006000,,"(37.8016309268, -122.44490577)"
13,BAY,DIVISADERO,NE,WB,0,27004000,,"(37.8018433255, -122.443236719)"
14,CHESTNUT,BUCHANAN, ,EB, ,26741000,,"(37.8012406442, -122.432970847)"
15,BAKER,JACKSON, ,WB, ,26863000,,"(37.7912127955, -122.444491537)"
16,JORDAN,EUCLID, ,NB, ,27222000,,"(37.7839338542, -122.456826442)"
17,JORDAN,EUCLID, ,SB, ,27222000,,"(37.7839338542, -122.456826442)"
18,03RD AVE,LAKE,SE,NB,0,27584000,,"(37.7868210075, -122.461484059)"
19,04TH AVE,ANZA,SE,NB,0,27242000,,"(37.7791916535, -122.462015592)"
20,04TH AVE,ANZA,NW,SB,0,27242000,,"(37.7791916535, -122.462015592)"
21,04TH AVE,BALBOA,NW,SB,0,27241000,,"(37.7773367393, -122.461881461)"
22,04TH AVE,BALBOA,SE,NB,0,27241000,,"(37.7773367393, -122.461881461)"
23,04TH AVE,CABRILLO,SE,NB,0,27238000,,"(37.7754723409, -122.46174665)"
24,04TH AVE,CLEMENT,NW,SB,0,27250000,,"(37.7830432804, -122.462291989)"
25,04TH AVE,CLEMENT,SE,NB,0,27250000,,"(37.7830432804, -122.462291989)"
